phone,customer_id
1468881,5281
2248245,10247
2639803,3072
2922377,10477
4039158,8924
4628358,6252
9093061,10481
11239614,3749
11449382,1935
12129313,3094
14188011,492
16386534,756
17169779,2418
18377630,8599
18727211,847
19322983,3146
23500940,9935
27844715,10337
30015437,8844
31259623,8356
32078056,1224
33109262,7234
36563336,1646
37984636,9948
39213286,5389
39410279,7466
39576550,9349
40907054,2751
43105337,10034
43383562,10588
44130410,8247
46534584,5613
47550530,10414
48893324,4906
48979556,9358
50209364,1102
50893202,4249
51788313,10425
51950977,89
52056855,6642
52075534,7733
52592884,185
52911879,8653
53085947,10954
54078911,4179
54119174,10027
54229718,9366
54856388,6219
55520269,8603
55849363,6878
56284423,3689
57262016,10801
58063221,10603
59573961,5149
60180869,5162
60284221,221
60784011,7838
63207280,4195
63852988,1102
65506131,465
66547961,2117
66607500,2810
67218188,9656
68918730,2976
69461385,4077
70582322,6333
71566045,4703
73930495,10583
74376941,10433
74662568,6055
75312047,5559
75574135,3866
75676081,8896
76339989,876
77084766,1820
77571112,740
78586187,1538
81366431,10779
82460288,8521
85633994,8177
86235591,9553
86514282,2160
87547186,9333
87606868,2317
88046266,246
90234356,10930
91977349,8184
92484103,5024
94496853,3203
97420406,5883
97483596,4746
97905368,1939
99071212,1660
99389965,5075
99537632,1820
99684005,68
100009357,10808
104145576,5527
104627118,7399
104894739,7495
106181006,9246
106562932,3415
107751009,9243
108126591,2512
108872734,9621
109147229,2766
109216687,792
109324710,3269
110011832,267
110965213,10515
111100477,4989
111797029,6703
112823194,7591
118279735,4369
118527992,2138
119839088,7461
120971892,2444
121110687,8787
121314999,10485
121395787,3420
121442917,8086
121720452,2539
123185502,6344
123333067,6721
124090768,6322
124530155,2083
125250621,77
125359602,10188
126726198,9008
128609383,267
129082604,6000
130203779,8911
131409695,215
131565995,5724
133542535,1876
134522370,10124
135695100,1226
136340574,5016
136856564,4555
137389271,1660
138010531,3648
139914596,3096
140112668,6071
141366726,1352
141458062,2301
142650674,1076
143404923,6677
143523193,6281
143821382,3983
144617113,6049
145745209,5437
145821121,6444
146182746,2644
148388179,6436
149047984,1528
151244310,5200
151505512,9093
152310471,3244
152855109,8046
153916441,8729
154252185,6416
154416635,5240
155865971,1078
156986839,2789
158590230,5274
158886317,3181
159013953,9793
159987882,2750
160989910,10051
161490564,4095
161582835,5846
161648832,5715
162281686,5942
162513418,9505
162684818,2950
164283112,5987
165164413,5478
166101973,8928
167348561,7755
171152040,857
171405751,2501
173005020,5932
173216509,7740
173456255,254
173938198,3152
173955886,9744
174689851,5125
175062335,6840
176457542,8504
178433316,7851
180989260,6612
181097154,3742
181586339,2836
182249613,5645
182684939,3166
184058311,9405
184273026,93
186393323,5057
186521027,6942
186552293,9785
186799071,5256
186882717,3298
187761496,1866
189755900,4959
190054915,9552
190371497,6966
190430139,1730
190483890,894
190825768,3892
191002167,1176
191713395,2207
191993471,7658
192975659,3241
193434837,1622
195024785,9029
196521303,385
197434107,7485
197449582,8510
197465490,1009
197678114,5012
199742931,7196
200028959,9932
200441196,6194
200690868,3033
201025522,6731
203074338,6145
207406840,8455
208585795,151
208629926,699
209240627,6078
209297496,3181
210276259,6502
210572644,6874
211125144,5592
211870678,10973
211977018,947
